ZUGEREIGNIS_ZUGGATTUNG,ZUGEREIGNIS_ZUGNUMMER,ZUGEREIGNIS_DS100,ZUGEREIGNIS_TYP,ZUGEREIGNIS_SOLLZEIT,ZUGEREIGNIS_ISTZEIT,QUELLE_SENDER,EINGANGSZEIT,SERVICE_ID,NAME,LAENGE,BREITE,geo,delay
S,7150,TSU,20,2017-09-16 17:34:00,2017-09-16 18:15:00,Leitsystem,2017-09-16T20:13:49+02:00,29969713773,,,,,41.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T19:58:04+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T20:09:28+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T20:45:33+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T19:50:15+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T20:37:31+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T20:04:22+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T20:18:36+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T20:31:43+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T21:03:32+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T20:34:52+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,TBO,20,2017-09-16 17:00:00,2017-09-16 17:33:00,Leitsystem,2017-09-16T19:32:55+02:00,29969713773,Böblingen,9.004128,48.687758,"48.687758, 9.004128",33.0
S,7150,TGOL,20,2017-09-16 17:02:00,2017-09-16 17:37:00,Leitsystem,2017-09-16T19:36:04+02:00,29969713773,Goldberg(Württ),9.02043,48.69691,"48.69691, 9.02043",35.0
S,7150,TSRO,20,2017-09-16 17:07:00,2017-09-16 17:43:00,Leitsystem,2017-09-16T19:42:30+02:00,29969713773,Stuttgart-Rohr,9.108328,48.717902,"48.717902, 9.108328",36.0
S,7150,TSOS,20,2017-09-16 17:12:00,2017-09-16 17:47:00,Leitsystem,2017-09-16T19:46:23+02:00,29969713773,Stuttgart-Österfeld,9.116774,48.737651,"48.737651, 9.116774",35.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T20:13:49+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T20:21:53+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T19:56:34+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T20:07:48+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T20:38:32+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T20:00:02+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T20:28:09+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T20:25:34+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T20:28:48+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
S,7150,THUB,40,2017-09-16 16:58:00,2017-09-16 17:32:00,Leitsystem,2017-09-16T20:55:14+02:00,29969713773,Hulb,8.982644,48.679267,"48.679267, 8.982644",34.0
