S_bahn,departure_code,scheduled,station,delay,occurances,pct_error
S,40,2017-10-29 17:40:00,Stuttgart-Vaihingen,34,1,0.045930808533235
S,40,2017-10-29 17:42:00,Stuttgart-Österfeld,34,1,2.50262316283788
S,20,2017-10-29 17:50:00,Stuttgart Schwabstr.,33,1,2.53338908961535
S,40,2017-10-29 17:50:00,Stuttgart Schwabstr.,33,1,2.91365096171138
S,40,2017-10-29 17:52:00,Stuttgart Feuersee,33,1,0.721352051067134
S,40,2017-10-29 17:55:00,Stuttgart Hbf (tief),34,1,1.05142035295953
S,20,2017-10-29 17:59:00,Stuttgart-Bad Cannstatt,34,1,2.32145669783295
S,20,2017-10-29 18:07:00,Stuttgart-Obertürkheim,37,1,0.333770834472008
S,20,2017-10-29 18:09:00,Esslingen-Mettingen,38,1,2.16365132952048
S,20,2017-10-29 18:19:00,Altbach,39,1,0.672283210551836
S,30,2017-10-29 18:25:00,Altbach,33,1,2.50585553818869
S,20,2017-10-29 18:30:00,Böblingen,33,1,1.1502084717353
S,40,2017-10-29 18:31:00,Wendlingen(Neckar),39,1,2.76476507549479
S,50,2017-10-29 18:38:00,Kirchheim(Teck),39,1,1.06163352387347
S,40,2017-10-29 18:19:00,Nufringen,33,1,1.52512426104064
S,40,2017-10-29 18:28:00,Hulb,33,1,0.829916707104072
S,40,2017-10-29 18:32:00,Goldberg(Württ),34,1,0.338029723223389
S,20,2017-10-29 18:40:00,Stuttgart-Vaihingen,34,1,0.286491286984821
S,20,2017-10-29 18:44:00,Stuttgart Universität,33,1,1.74802948247629
